Genes,in_atlas
MSH3,True
MSH2,True
MLH1,True
POLD4,True
HMGB1,True
UBE2A,True
XRCC5,True
PRKDC,True
POLM,True
POLL,True
POLB,True
POLD3,True
RFC1,True
PARP3,True
APEX2,True
CETN2,True
DDIT4,True
CDK7,True
CCNH,True
BLM,True
ATRX,True
ATRIP,False
ALKBH3,True
RFC2,True
ALKBH2,True
ALKBH1,True
RPA2,True
RPA1,True
RFC5,True
RFC4,True
RFC3,True
PARPBP,True
RPA3,True
PARG,True
CNOT4,True
CENPW,True
CHD1L,True
CHD4,True
CHTF8,True
CLUH,True
CNOT11,True
CNOT3,True
COL20A1,True
CDK5,True
CPN2,True
CREM,True
CSTF1,True
CTDP1,True
MRE11,True
CXXC1,True
DCTD,True
CDKN3,True
COMMD1,True
CDK2AP2,True
BRD1,True
APTX,True
CDK10,True
ASCC3,True
LIG3,True
ANAPC2,True
ARGLU1,True
B3GNT9,True
BRAP,True
ATF7,True
BRD8,True
CCDC177,True
CDC73,True
CD2BP2,True
CCT4,True
C16orf86,True
